"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","6.334","6.212","6.437","6.197","14.18M","1.95%"
"06/30/2024","6.212","6.080","6.253","6.026","4.29M","2.18%"
"06/29/2024","6.080","6.188","6.296","6.066","4.96M","-1.75%"
"06/28/2024","6.188","6.287","6.437","6.161","8.58M","-1.58%"
"06/27/2024","6.287","5.799","6.374","5.711","8.27M","8.43%"
"06/26/2024","5.799","5.842","5.944","5.780","6.53M","-0.74%"
"06/25/2024","5.842","5.728","5.970","5.709","9.55M","1.99%"
"06/24/2024","5.728","5.651","5.736","5.460","13.59M","1.36%"
"06/23/2024","5.651","5.750","5.815","5.622","4.10M","-1.72%"
"06/22/2024","5.750","5.610","5.801","5.544","17.41M","2.49%"
"06/21/2024","5.610","5.643","5.733","5.555","8.06M","-0.58%"
"06/20/2024","5.643","5.799","5.968","5.604","10.73M","-2.69%"
"06/19/2024","5.799","5.771","5.989","5.732","8.72M","0.47%"
"06/18/2024","5.771","6.070","6.084","5.558","22.56M","-4.94%"
"06/17/2024","6.071","6.391","6.413","6.031","35.56M","-4.99%"
"06/16/2024","6.390","6.224","6.426","6.161","18.23M","2.67%"
"06/15/2024","6.224","6.165","6.248","6.114","5.42M","0.96%"
"06/14/2024","6.165","6.363","6.480","6.049","7.33M","-3.11%"
"06/13/2024","6.363","6.738","6.738","6.353","9.61M","-5.57%"
"06/12/2024","6.738","6.378","6.920","6.289","19.43M","5.65%"
"06/11/2024","6.378","6.509","6.524","6.232","14.33M","-2.01%"
"06/10/2024","6.509","6.524","6.575","6.371","7.75M","-0.26%"
"06/09/2024","6.526","6.386","6.539","6.378","24.39M","2.19%"
"06/08/2024","6.386","6.660","6.671","6.353","9.80M","-4.12%"
"06/07/2024","6.660","7.145","7.287","6.280","22.79M","-6.78%"
"06/06/2024","7.145","7.246","7.285","7.073","10.75M","-1.40%"
"06/05/2024","7.246","7.177","7.290","7.159","8.40M","0.96%"
"06/04/2024","7.178","7.010","7.233","6.948","12.69M","2.37%"
"06/03/2024","7.011","6.991","7.182","6.942","31.81M","0.29%"
"06/02/2024","6.991","7.061","7.123","6.926","4.98M","-1.00%"
"06/01/2024","7.061","6.989","7.133","6.963","4.19M","1.04%"
"05/31/2024","6.989","6.998","7.046","6.823","6.87M","-0.13%"
"05/30/2024","6.998","7.177","7.233","6.935","11.73M","-2.50%"
"05/29/2024","7.177","7.373","7.549","7.149","11.87M","-2.66%"
"05/28/2024","7.373","7.637","7.658","7.290","13.83M","-3.46%"
"05/27/2024","7.638","7.553","7.768","7.386","10.43M","1.12%"
"05/26/2024","7.553","7.420","7.638","7.372","7.65M","1.71%"
"05/25/2024","7.426","7.244","7.436","7.226","5.00M","2.51%"
"05/24/2024","7.244","7.198","7.375","7.023","9.48M","0.64%"
"05/23/2024","7.198","7.462","7.599","6.920","20.72M","-3.53%"
"05/22/2024","7.462","7.612","7.698","7.392","16.41M","-1.97%"
"05/21/2024","7.612","7.572","7.657","7.439","19.68M","0.50%"
"05/20/2024","7.574","6.931","7.575","6.858","12.82M","9.27%"
"05/19/2024","6.931","7.156","7.178","6.900","4.81M","-3.14%"
"05/18/2024","7.156","7.196","7.226","7.068","4.79M","-0.54%"
"05/17/2024","7.195","7.028","7.287","7.004","32.30M","2.38%"
"05/16/2024","7.028","6.967","7.058","6.827","8.62M","0.89%"
"05/15/2024","6.967","6.483","7.017","6.466","11.11M","7.45%"
"05/14/2024","6.483","6.672","6.695","6.474","13.27M","-2.78%"
"05/13/2024","6.669","6.617","6.818","6.451","8.88M","0.79%"
"05/12/2024","6.617","6.659","6.789","6.607","3.94M","-0.63%"
"05/11/2024","6.659","6.747","6.805","6.644","5.86M","-1.32%"
"05/10/2024","6.747","7.049","7.144","6.711","63.73M","-4.26%"
"05/09/2024","7.048","6.987","7.092","6.793","8.24M","0.88%"
"05/08/2024","6.986","6.999","7.170","6.922","9.10M","-0.18%"
"05/07/2024","6.999","7.121","7.292","6.989","9.41M","-1.72%"
"05/06/2024","7.121","7.306","7.467","7.067","11.93M","-2.52%"
"05/05/2024","7.306","7.124","7.389","7.022","10.41M","2.56%"
"05/04/2024","7.124","7.245","7.247","7.121","8.92M","-1.67%"
"05/03/2024","7.245","7.280","7.374","7.015","17.10M","-0.48%"
"05/02/2024","7.280","6.893","7.399","6.712","29.01M","5.61%"
"05/01/2024","6.893","6.426","6.928","6.143","24.29M","7.27%"
"04/30/2024","6.426","6.586","6.657","6.063","18.03M","-2.43%"
"04/29/2024","6.586","6.721","6.823","6.480","9.39M","-2.02%"
"04/28/2024","6.722","6.806","6.945","6.698","8.82M","-1.22%"
"04/27/2024","6.805","6.760","6.857","6.558","9.41M","0.67%"
"04/26/2024","6.759","6.863","6.946","6.724","11.42M","-1.51%"
"04/25/2024","6.863","6.926","6.996","6.709","10.72M","-0.91%"
"04/24/2024","6.926","7.243","7.494","6.863","15.50M","-4.37%"
"04/23/2024","7.243","7.470","7.531","7.211","12.98M","-3.04%"
"04/22/2024","7.470","7.139","7.569","7.102","13.02M","4.65%"
